Short,Long,Class,Opinion
“Superb Stay!”,"Based on other reviews, we had high expectations of our stay at Hotel Digon in late September. Amazingly, the stay far exceeded our expectations! My wife and I have stayed at many B&Bs and inns over 40 years of traveling, and I must say that the Stuflesser family (the owners) and their staff are the friendliest hosts we have ever encountered. This was not the feigned friendliness one sometimes encounters at hotels; they were truly warm, down-to-earth people. They were amazingly gracious in providing information on the area and in responding to any request we had. Matteo, who served us during breakfast and dinner at the hotel, brightened the entire dining room with his cheerfulness and humor. Both meals are included in the room rate, and the food was very plentiful and very tasty. Our room was reasonably-sized, attractively appointed and furnished and had a grand and lovely view of the valley and mountains. The hotel was very conveniently located but out of the hubbub of the town. Buses regularly stopped at the hotel, and the drive to town took only about two minutes. If we ever return to the Dolomites (and it is a land of stunning beauty), we can't imagine staying anywhere other than the Hotel Digon. Room Tip: Ask for a room with a balcony and view of the valley and mountains; well worth it! See more room tips",couple,POS
“Best Hotel Ever”,"We have stayed many times in Val Gardena but never at the Digon , but we will never stay anywhere else again, the food amazing, the rooms beautiful and the service 6 star at least ,it is family run and you arrive as strangers and leave as friends... we cannot wait to return",couple,POS
"“The food is great, the view is great. The folk are great. I want to go back.”","It was such a pleasure to stay here. The staff was so friendly and helpful and amazingly spoke English, German, Ladin and Italian. Dinners were as delicious as the stunning June panoramas we saw in the Seiser Alm. Sitting on the patio of our room or on the larger one off the common room was such a nice way to relax after a day of hiking. Hotel Digon is perhaps a 40 minute walk from town, but we enjoyed the walk through the bush, just to see the local orchids. Buses are available, so if we hadn't a car, it would have been easy to get around. The hotel had many partnerships with local resources( gym, pool, organized hikes) that we certainly would have used if our stay had been longer than the four days. This will definitely be our spot for the next trip to the Val Gardena",couple,POS
“Superb Family Hotel”,Among our great travels in this totally Tirolian village of Italy was the great hospitality we received from Hotel Wolf. We were greeted very late at night by a smiley young lately who went out of her way to stay up for us and arrange parking. The coziness of the room and cleanliness of the place made it so enjoyable. Breakfasts were amazing and all the help we received from any of the staff was more then delightful. Hopefully some day we will be back.,couple,POS
“Perfect Hotel in Castelrotto”,"My husband and I stayed at this hotel last year in Fall in Italy. It was in the Dolomites and what I consider the """"Perfect Hotel"""". It is a family hotel called Zum Wolf in German or Hotel al Lupo in Italian. The great grandson and his wife run the hotel and are delightful. They were always willing to give advice and answer questions. We loved the Tirolean atmosphere and wonderful balcony with a gorgeous view of the Dolomites with the late afternoon sun on them. The bathroom had a long counter, which I like for my cosmetics. They have parking in the back, where the buses also stop. They have an elevator, a bar area and wonderful breakfasts. It also has super prices. Room Tip: Ask for a balcony facing the Dolomites! See more room tips",couple,POS
“Warm and friendly”,"Welcoming and friendly. Owner and his wife run the establishment and are very friendly. They went out of their way to provide me with information regarding sights Re: Alpe de Suisse, Presule Castle etc. In addition, they provided information about gas stations and driving directions. Very large buffet breakfast which was all you could eat. My room was large, clean, and comfortable. They also provided private parking just behind the Hotel which was very handy.",None,POS
"“Charming setting, spectacular scenery!”","Following tha advice of Rick Steves, we chose Castelrotto as our home base when making our first trip to the Dolmites. We also chose Hotel Zum Wolf based on his recommendation. Arriving from magical, but crowded Venice, we were thrilled by the spectacular scenery and absolute charm of Castelrotto. The hotel was a delight and we immediately felt at home. We spent our days wandering the high alpine meadows, fascinated by the ever changing panoramas and were always pleased to return """"home"""" to Hotel Zum Wolf. We would happily return again!",None,POS
"“While visiting Castelrotto, consider staying at Hotel Zum Wolf al Lupo!”","The Silbernagl Family at Hotel Zum Wolf al Lupo are excellent hosts. Their hotel is a clean, attractive, and well run operation. Our room was crisp and spotless. The view of the surrounding area was dramatic. We consider it an excellent value. The operators did not hesitate to offer help when we asked for information about the area. For travelers such as ourselves, hiking in the Dolomites is THE reason for coming to Castelrotto. They explained which bus to take to the hiking starting points and how to purchase the tickets for hiking in the suggested areas. This was very useful and time saving information and our planned hikes in the Dolomites were successful because of their willingness to help us. The breakfast was outstanding. Plenty of fresh and tasty breads, meats, cheeses, juice...all the goodies you want in a European style breakfast. Yum... Guests can take advantage of their bar in the evening. They offer drinks at reasonable prices. Here you can swap stories with other guests about the hiking adventures of the day. We liked this place a lot. Thanks Silbernagl Family! Tim and Susan - Arizona Room Tip: Ask them for a room with a balcony and view! See more room tips",couple,POS
“Excellent Hotel In Brixen”,"The hotel is located in front of Mountains which are snow clad in winter season. If you get a room facing the main road, you will get a good view of mountains in the morning. The bathroom are of international standard. For parking of vehicle, one may have to go to the nearest building of same hotel. The market is just few feet across the bridge facing the hotels other building.",None,POS
“Disappointing”,"We chose this hotel because of the good reviews on Tripadvisor. But for us was quite disappointing. The hotel is clean,the room we were, in the green house, spacious and with a nice terrace(at a price anyway!). And housekeeping was outstanding. The same can be said about the swimming pools when no children do what they want desides the rules. But those who are thinking in choosing this hotel for their stay should know in my opinion that a) Reception is nonexistent (except for paying the bill). No information about where is the room, the garage or breakfast or dinner hours. Nothing if not asked. And the way can be not an easy one. b) Common areas are too small for the size of the hotel which has severals buildings. Neither the dining room or the pool area, payment required without wellness card, or the garage are the size needed for the the hotel. And for us the last thing one expects to find in holidays is trouble finding a parking space (45€ the week) or to find a free table (which for some guests can be book for breakfast and for some not). We stayed for a week an each evening we have to change the table besides the policy they have to seat always in the same. Food was acceptable but scarce in some items if you like to have dinner after 20.15 (i.e.near 9PM when service ends). c) We had in the room of the above floor a family with young children. It was a torment because their runs were perfectly audible. And annoying!! Specially early morning and at night. So I doubt we will be back besides so many good reviews. Perhaps there is no best options in Bressannone/Brixen but there are better places in Alto Adige.",couple,NEG
"“lovely hotel, perfect service”","lovely 4 star hotel, very nice rooms, great breakfast and dinner buffet (just don't go too late, people tend to eat early-ish here - but you can always ask the staff if you can't find what you fancy), lovely staff, and ideally situated in Brixen. 8 of us on a special family holiday and it turned out to be just perfect. we definitely want to go back!",family,POS
“A Castelrotto Gem”,"We spent 3 lovely nights at the Zum Wolfe. Our room was very nice with plenty of space and a balcony with a view of the hills. The Silbernagl Family was very helpful, recommending good places to hike, local events, and even lending us a computer so that we could check our email. In the evenings, they open a No Host “On your Honor” bar with wine, beer and other beverages. Take what you want, just write down what you have drank, and they add it to your room bill. Their beverage prices are quite reasonable. They have washer available for their guest’s use, which we found really convenient as we were in the middle of a 5 week European Adventure. They do not have a clothes dryer available, but in June everything dries in about 4 hours so this was not a problem. The breakfast was one of the best we had had in Europe. They serve a wide selection… breads, cold cuts, cheese, fresh, canned and dried fruits, juice, coffee & tea. I would not stay anywhere else.",couple,POS
“Beautyful Hotel with excellent Service in the Dolomites! Our Best Experience on our Italy Trip!”,"Hotel Wolf is a beautyful hotel right in center of the georgous town Castelrotto in the Dolomites. Higly recommended! The rooms are new, spacious and very clean, food and the service is excellent and the price is right. The hotel is owned by a young engish speaking couple, who are very friendly and helpful in any kind. It made us feel very comfortable when we arrived. It was our best experience on our 14 day trip to Italy. Will come again!!!!!",couple,POS
“One of the Very Best”,"Hotel Zum Wolf was one the very best places we stayed in during a three-week vacation in France, Switzerland, Italy and Germany. The Frau was very helpful, knew what information would be important to us, and critically, her information was totally accurate. The breakfast was excellent, the rooms outstanding, and the location was absolutely perfect. We used their car park and laundry. We used Rick Steve's recommendation. A Totally Wonderful place, which we recommend highly!",family,POS
“A jewel in the heart of the Dolomites”,This is my fifth visit to Hotel Digon and it never fails to impress me. It's situated in a very quiet area just outside Ortisei/St Ulrich and very close to the most wonderful walking areas in the Dolomites. The rooms are very comfortable and the food is fantastic. Frau Schuflesser is a wonderful cook and is always happy to cook non-meat dishes for me. The breakfast is as good as any five star hotel can provide. They use excellent ingredients and cook with care for their guests. The atmosphere in the hotel is extremely friendly and the service from the family and staff is immediate and courteous. I have no hesitation in recommending Hotel Digon and look forward to my next visit.,friends,POS
"“Lovely and attentive service, fantastic value, great hearty food”","Probably my favorite hotel in all of Italy during my 3 week trip to Rome, Venice, Florence, Ortisei and Cinque Terre. This is family run hotel establishment shows great care and pride in their hotel. Being a solo traveler who had never been to the Dolomites, I was anxious about how I would get around and what it might be like. This hotel made it easy. They offered to pick me up at the bus station and ended up dropping me off the day of my departure. The hotel is actually only a few miles from the town center and there is great bus service but their hospitality was most appreciated and made things easier given my arrival/departure times. The meals were extensive and fulfilling - many courses for dinner and a big breakfast buffet and the food, much of it from their family farm was hearty Tyrolean cuisine, and no lack of healthy ingredient! It was such a great value, too - around 60 euros a night including a 5 course dinner. I loved having dinner there each night - I ordered a bottle of wine the first night and each night they brought it out and I could continue to enjoy it. The Dolomites are so superb and Hotel Digon exemplifies part of the perfect Dolomites experience - which in my opinion combines the best of German and Italian culture (Italian kitchen and German quality is a saying that someone there taught me and sums it up!) The views and hikes are spectacular and so breath-taking. And the people there care so much about their beautiful surroundings. If you go, also make sure to do some hiking and have lunch in the mountains at a riffugio!",None,POS
“Gorgeous and Gracious”,"Hotel Digon was one of our favorite hotels on our one mony honeymoon in Europe. The Dolomite is a beautiful area, and we wished we had more time here. The hotel is not inside the main city center. It is about 3 miles away, but easily reachable by the local bus, and it is better that it is not in the main city center, because of the spectacular views you get from your own balcony. Wow! Not only is this hotel perfectly situated, the family that own this hotel are the most gracious hosts. They are extremely friendly and helpful. The breakfast and dinners were delicious, and the room we had was very comfortable. The hiking here was enjoyable, with some of the best alpine views and photo spots. There are trails for all levels of hiking. Interestingly, we found our favorite gelato shop in Ortissei/St. Ulrich, even better than the supposed great gelato of Florence. Even though this town was in Italy, there were many people speaking German here. We would love to come back and we highly recommend this place as a relaxing vacation spot with great food, good people, and stunningly unique landscape.",couple,POS
“Wonderful Inn - Beautiful setting”,Can't say enough about this hotel. Lovely setting above Ortisei. We had one of the newer rooms - quite large and immaculately clean. The food was wonderful. Everything was! This was the first time we had ever done a 1/2 board in a hotel. Great value. Want to go back immediately.,couple,POS
"“Warm, friendly, perfectly comfortable, and a great value”","We stayed at the Hotel Digon in the spectacular Val Gardena for 5 nights in September and it was one of the best holiday experiences of our lives. Here's why: Service: The beauty of the region was enhanced by the excellent service provided by the Hotel Digon, and specifically by Daniel, son of the owners, who appeared to be able to speak any and all languages. We were the only English speakers there for most of our time, so we appreciated him very much. Klaus was our excellent waiter, and he could not have been more competent and warm. We were picked up in the town centre on arrival, lent walking sticks, and treated very well. The staff were always cheerful and prepared to answer any questions. Flawless. Location: The hotel's location, away from the town centre, was, for us, perfect-- no other buildings overlook the hotel, so we had complete privacy in the room and on the balcony and could leave the window and curtains open at night. This arrangement would be difficult to find in the centre of Ortisei since the houses and hotels are very close together. The walk to town was an easy 15 minutes, mostly downhill. We took the bus back home-- the bus to/from Castelrotto and the centre of Ortisei stops directly in front of the hotel. Services: There is no pool at the hotel (or spa, or sauna…) but access to the lovely Ortisei public pool was free (swim caps mandatory, so bring one or buy one there). Guided hikes were also free, but a bit of a challenge for English speakers as they were conducted in German and Italian. We got by with our smattering of Italian and French, and the guide was very accommodating. Room: We loved our room in the new building: bright, spotlessly clean, with a great shower (no bath), double sink and bidet, comfortable bed, fluffy duvets and lots of storage. We liked that the floor was bare pine rather than carpeted. There was a very nice view from the balcony over green lawns and down to the valley. Food: The half-board plan is a fantastic deal. The quantity of food is very generous, and the quality, while not at the fine dining level, was very good. Breakfast is a buffet of cereals and yogurt, fruit salad, pastries, boiled or scrambled eggs, bacon, cold meats, cheeses and breads. The dinner menu was presented each morning, giving an opportunity to request substitutions, which were never a problem. The menu featured quite a bit of beef and veal when we were there. We recommend that you let them know clearly in advance what you can and cannot eat: one of us did not eat beef, but they confused this for vegetarianism. As it turns out, the vegetarian options were delicious, if cheesy. The wine list was good, but pricey-- least expensive bottle was 14E--but they will hold a partially consumed bottle for you for the next night, if you wish. Suggestions and downsides: It is hard to find fault with such a wonderful place, but there are a few very minor issues that could be addressed to make the Digon even better. Tables in the dining room were assigned by room and did not change over the course of our stay-- which is fine if you have a nice table looking out to the valley, but not so great if your table looks out to the car park. We would have appreciated a rotation of tables so we had a change of view and new neighbours to chat with. The exterior lighting was on a timer that went out too late for us, so we couldn't see the stars. I would put the lights in the control of the rooms, or turn them out earlier. A less expensive house wine by the litre of half-litre would have been appreciated. Last point: We arrived at the hotel as a female couple in what appears to be a fairly conservative area. In our experience, some hotels will switch us from a booked room with a double bed to two singles when they see us, or treat us differently from straight couples. This can really affect the tone of our holidays and make us uncomfortable. I am happy to report that the Digon staff never missed a beat—there was absolutely no weirdness or tone, and no attempt to shift us to a room with twin beds. In fact, we were upgraded—for no apparent reason — to a higher level room on arrival. We really appreciated this excellent service and will most certainly return to this hotel on our next visit to the area.",couple,POS
"“Like Living """"The Sound of Music!""""”","Having been to Venice 4 years ago, with trips in the intervening years to Florence and Rome and environs, we wanted to return to Venice, and also see places nearby: Ravenna, Padua, and the Dolomites. Using TripAdvisor, I settled on Castelrotto or Kastelruth for the Dolomites and selected the Hotel Zum Wolf based on the few reviews, all positive, that were posted for this hotel. My wife & I were wondering if it were too ambitious to drive in the mountains, but we are so glad that we did! We learned that we were there towards the end of the """"walking season."""" It had rained the night before, but we had two glorious days very close to heaven. Our room was as advertised, with a nice balcony overlooking the valley and very pleasantly furnished in Tyrolean pine. The bath was great, with a tub and shower combination and plenty of room. The breakfasts were fun: we boiled our own eggs and enjoyed cheeses, ham, yogurt and nice breads. The town is truly picturebook! The ski lifts to the Alpe Suisse (an 8 mile wide pasture where cows summer) were operating and there were lots of interesting trails to explore. The vistas were as if one were truly """"flying like an eagle."""" The co-owner / wife of the innkeeper was very pleasant and offered us good suggestions for hikes and restaurants. I heartily recommend exploring this part of Italy and, if you are in the area, I would recommend that you stay at this lovely inn. If you are a fan of Donna Leon's novels, you may know that her detective Brunetti dreams in the hot summers of sleeping in the Dolomites under down coverlets. This inn, indeed, provided the plushest, nicest down coverlets and pillows that I have ever experience in any inn anywhere.",couple,POS
"“Great location, not fancy, but spacious with great views from some rooms”","Excellent location in center of town and right in front of the main bus terminal in Castelrotto. Once you arrive in Castelrotto there is no need to drive as there is complimentary bus service. Quaint hotel with beautiful views from the rear facing rooms. Rooms are not fancy but adequate. It is worth upgrading to the suite rooms as the extra space is very nice. Wireless internet is avaliable only in the lobby for a fee. Breakfast is adequate, but nothing special. Front desk personnel are knowledgeable and pleasant, but not overly warm. Avoid all three of their listed restaurant recommendations (particularily the Liftstuberl) as these were the only bad meals we had in two weeks in Italy.",couple,POS
“Wonderful location--especially when construction is done”,"Unfortunately the town is undergoing major construction so some of the roads are closed, making it a challange to get in and out. We had a large room with what will be a nice view. There is a lift which was very good. The staff most helpful, suggesting drives through the Dolomites. Many resturants nearby",couple,NEG
“nothing was too much trouble”,"we were made extremely welcome - good breakfast , comfortable rooms, honesty bar, booking of restaurants that were children friendly AND had great food ... very good local information and advice - happy to telephone to check if we had to hire toboggans at the bottom of the chair lifts or hire at the top ... the list of our requests was endless and met with a smile and very helpful. This is the first review I have have put onto Tripadvisor -but felt compelled to do so as we had such a great time at Zum Wolf !!",None,POS
"“Comfortable, affordable, super-friendly!”",This hotel was a pleasant surprise. I travel often and can say I've never been greeted with more warmth and enthusiasm anywhere when checking in. We felt like we were staying with old friends! Great view from the balcony and perfect location for enjoying the town. The full sized tub was wonderful after a long day of hiking and the opportunity to do laundry (for a small fee) was really appreciated. Our only regret was that we couldn't stay longer!,couple,POS
“Great base for Dolomite walks”,"We used this hotel as a base to do some of the local walks and also to visit the Otzi museum in Balzano which is worth visiting . This hotel was a great base and had everything we needed - interconnecting rooms for our family, a laundry, car parking and breakfast included. It was well located, good value and very clean.",family,POS
“A comfortable and friendly hotel in great location”,"We really enjoyed our stay in Castelrotto which is a friendly and small Sud Tirolian village with a lot of charm. What a beautiful part of the world! The hotel was traditional Tirolian, very clean and up to date with a comfortable bed and a nice breakfast. We also appreciated the excellent laundry facilities for a nominal charge. The owners really helped us plan our hiking to meet our level and were helpful also with restaurants and other activities. There is quite a variety of lovely shops for those interested in shopping. Room Tip: The balcony room that we were in gives a view to the mountains especially the corner room (48) which... See more room tips",couple,POS
“Great View in a Convenient Location”,"My fiance and I stayed here for one night in July 2013. We splurged (for us) and stayed in a room with a balcony. It was definitely worth the extra euros because the scenery surrounding the area was spectacular. We were both impressed with the selection for breakfast - eggs, cereal, yogurt. The staff was courteous and we always had a parking space. Great base to explore the region and hiking trails. I would definitely stay at Hotel Zum Wolf again and really hope to return to this unique part of Italy.",couple,POS
“best experience and value”,"Could only stay a couple of days, but what a fantastic place with charming service and really great value for money. Would be back when possible, and for longer time. An experience you will not forget, if you like wine, dine and snow in lovely conditions with great people.",None,POS
“We Loved Hotel Cavallino d' Oro-Very Charming”,"We stayed in Suite #6 and it had a spacious bedroom and bathroom along with a very nice patio with several lounge chairs, table and chairs and a great view of the mountains. The suite was a great value for the money. This was the best room we had during our stay in Italy. Our room and the hotel is decorated with great charm. The front desk staff throughout our stay were always very helpful and spoke excellent English. They have a very large bar area near the lobby that provides a place to have drinks and mingle with the other guests. The WiFi didn't work for us in our room, but they have a computer in the lobby that worked fine. The restaurant has excellent food and we had 2 dinners there. Only negative is that the waiter Marco wasn't very helpful with the translation of the menu items on the 1st night (it was in German) but the 2nd night we asked for a menu in Italian which worked better for us. Breakfast buffet choices & food was great. We used the complimentary laundry which we appreciated for the convenience. We enjoyed the hiking in the Alpi di Siusi. This is a wonderful spot to take a break from the cities. If you arrive by car, they do provide complimentary parking in a private secured parking structure. Room Tip: Stay in one of the Suites - well worth the money. See more room tips",couple,POS
“Not just excellent -- perfect”,"I should just copy and paste all of the other positive reviews people have written about this hotel. This was our third trip to Castelrotto and our second time to stay at Cavallino d'Oro. This hotel is beautiful, clean, and professionally managed. The rooms and public areas are tastefully furnished and decorated with an eye for artistic detail. The beds are comfortable and the bathrooms are beautifully modern with a big, inviting tub. The price of the hotel makes it an excellent value. In fact, it was our least expensive hotel for this two-week trip to Italy. We spent our days hiking, but we enjoyed spending our late afternoons and evenings in our room and in the hotel public areas. The bar is like a beautifully decorated parlor in a private home. You can pass the time there with your traveling partner or you can interact with other guests. The hotel breakfast is great and wonderfully presented in their elegant dining room. We had our lunches while we were out hiking. (Hiking in Europe is so civilized. You're never more than a half hour away from food and drink.) But, we took all of our evening meals at the hotel. On our past stays, we've sampled the other restaurants in town -- which are pretty good -- but we found that we couldn't beat the hotel restaurant for quality, service, and value. The hotel has a free, guest laundry. The dryer takes a little time, so don't get into laundry if you plan to do a lot of other activities that day. The hotel provides free-parking in a reserved section of a new, public garage. It's located very nearby and has an elevator that brings you up to street level just a stone's throw from the hotel door. The parking is a whole lot closer than your average American chain hotel. If you're taking the bus, the station is right behind the hotel. The hotel facility is very nice, but the main attraction of Cavallino d'Oro is the people who run it. They are friendly, professional, and possess excellent language skills. The guests at this hotel primarily speak either German, Italian, or English. The staff seems to be fluent in all three. We really enjoyed meeting and interacting with the people who work here. It made the meals very pleasant. And we enjoyed spending a couple of minutes with the front desk staff as we came and went. Castelrotto is one of our favorite destinations. This hotel will always be our first choice. If necessary we would try to change our itinerary in order to get reservations here.",couple,POS
“Deserves all the praise given in previous reviews”,"This hotel is ideally situated, meticulously maintained, and operated in the highest standard of South Tyrolean efficiency and order. Its location -- just a few minutes from the bus station -- makes travel to the Seiser Alm quick and easy. For those venturing out on day visits to neighboring towns and places, the Mobil Card is a great value for all forms of travel throughout the South Tyrol. A special thanks to Rosi (hotel's front desk) is in order here for her help in sorting out bus schedules and connections. Finally, we can't finish this review without mentioning that the half-board option of breakfast and dinner was greatly appreciated. Food quality and choices were excellent. Our compliments to the owners of this family-run hotel for their dedication to high service.",couple,POS
“Perfect central location in attractive Castelrotto”,The room was very nice and the people at the front desk spoke very good English. They went out of their way to be helpful even when I was trying to find a good location for wireless internet. They also have a very good restaurant.,couple,POS
“Lovely cozy hotel in a really good location!”,"Such a lovely cozy hotel in a very very centre in Castelrotto, old town. Atmosphere is so amazing! Whole package of information for us was already prepared and provided when we get here. (today is my check out date and I am writing a review at a lobby..) Very nice and helpful service by kind staffs. Only 2 drawbacks were- 1) we booked a double room with an extra bed but that extra bed was somehow a little bit small for an adult. But it was ok quality though. 2) there was no refrigerator in a room However, all in all, I strongly recommend this place! It was a good stay for sure :)",family,POS
“Wonderful hotel!”,"My husband and I stayed for a couple nights, in a room that had a terrace with a gorgeous view of the mountains. The decoration of the room was lovely, the staff was very friendly, and the food ( both breakfast and dinner were included in the price of the room) was tasty and well- prepared. The location was also excellent, in the main square of the village. If you come by bus, the station is just the street below the hotel.",couple,POS
“a home away from home”,"We have recently completed our 13th yearly visit and stay at the Cavallino d'Oro. After spending three nights on our first visit in 2000, we now stay for at least two weeks in the summer. Perhaps that speaks for itself. We have tried other places in the South Tyrol, but this is a special place that provides an experience that is not found elsewhere. From the owners, Stefan and Susanne Urthaler, as well as their very capable and congenial staff, every guest receives great hospitality. At the reception desk, Rosi is always cheerful and helpful --- and an immensely talented and dependable resource at planning walks or other activities. Marco, the maitre d', is knowledgeable, efficient and reliable. Monika offers a cheerful presence in the dining room. Each of them, in his or her own way, as well as other members of the staff, makes the place great. While some guests choose to eat dinners outside of the hotel, it is entirely unnecessary --- in fact it is a huge mistake. The food is abundant, very well prepared, and always satisfying. The guest rooms vary a bit in size, design and furnishings, but they are all impeccably clean and comfortable. The bar, now under the congenial Mirka, provides the setting after dinner to make new friends. The town of Kastelruth itself is an uniquely charming place --- which leaves unforgettable memories. The summer hiking in the Alpe di Siusi, easily reached by bus and/or a cabin lift, restores physical health as well as emotional and spiritual well being. But while many visitors only come for a day or two, it is absolutely necessary to spend a week or two here in order to enjoy the fuller benefit of the many trails. While the Puflatsch/Bullaccia side is a nice introduction, the Panorama side deserves even more time. Go to a supermarket and have them make sandwiches for your backpack or have a great lunch in a hutte up on the Alpe. Bring your walking poles. Buy the CombiCard for the bus and the Cabinovia. It's all well worth it. But while the Alpe is stunning, staying at the Cavallino is the heart of the experience. While someone may find something to quibble about, the good things far outweigh anything else. And the gracious and warm atmosphere is priceless. There is so much that is just great about this place. As so many have noted, you become part of a family here. And the day that you leave becomes the saddest day of the year. It's nothing less than a home away from home. Maybe we'll even meet you here next year! Room Tip: We would take any room here! See more room tips",couple,POS
“Voted our #1 favorite in Italy”,"We traveled Italy for 3 weeks. We stayed in and out of hotels and we loved it here. When we walked in the door we were treated like family...thank you Stefan and Susanne! Our room was large..which was a nice change and SO clean! As their website says, WiFi free, parking free, pets free, laundry free. It was true. You were not nickle'd and dime'd to death. Now, they had only one washer and dryer with some time restraints but they even provided the soap. You had to be patient and courteous to other travelers also washing but we got all of our laundry done in one morning. We, as guests of the hotel, had our own reserved table for every meal...which we did end up eating there each evening. They had the same wait staff who were most pleasant! Be careful if you get the Beef Bourguignon...it is a TON of food. Absolutely worth it but eat nothing else :) The location was perfect with walking distance to the bus station...well, everywhere. We would definitely return to Castlerotto and we would DEFINITELY stay here! Thank you Stefan & Susanne for a memorable experience! Come and visit us in Colorado! John and Laurie",couple,POS
“Excellent location and very comfortable stay”,"My family of three went to this hotel with very high expectations after reading the wonderful reviews on tripadvisor and this hotel even exceeded our expectations. Both room and bathroom are large and clean. We looked forward to both breakfast and dinner on both days while we stayed there. All the staff speak excellent English and gave good advice on travelling around the region. It is located near to the bus station which is very useful for us as we get around on the buses.(Took a pleasant 50 mins journey to get here from Bolzano train station by bus 170) The day ticket(1.50 euro) by the local buses allows us to get to the cable car station within 15 mins and also allows us to travel from the cable car station to Ortisei in 30 mins. There are also other buses to towns like Brixen. Behind the hotel, is a path up the hill which allows us to get very good shot of the mountains and bell tower. The free use of the washing machine (free detergent) and dryer also adds value to this hotel. Also available is a computer for us to check on our emails etc. Highly recommend this hotel and Castelrotto is one of the prettiest town around this region. It is a good base for travelling in this region.",family,POS
“Perfect location and exellent service”,La Perla has probably one of the best location in Dolomites due to ski-in and ski-out and easy access to all slopes. Very freindly staff makes you feel at home. Romantic rooms are big enough to feel very comfortable in the room. There was Russian TV channels and quite good Wi-Fi in the room. Restaurant has a good choice of food and you can take a half-board with its daily menu or use a la cart menu with a very good choices of dishes and wines! The SPA area is very comfortable and offeres two saunas and steam bath as well as kneipp. Therapists are very professional and make exellent treatments and massages. Everything is very convinient and gives you the possibility just to enjoy your time. Room Tip: Soundproof is not ideal. You can hear your neighbors. Probably it is better to ask more quite room w... See more room tips,family,NEG
“Fabulous and affordable”,"This is a beautiful, well appointed hotel directly on the town square in Castelrotto, Italy. The staff (front desk, restaurant, and lounge) was incredibly friendly and helpful. Our double room was large, nicely decorated and airy, with large windows and skylights that opened to allow additional circulation. The dining room was bright and comfortable. Breakfast was included in our room rate and it was first rate. The hotel has a ground-floor space for storing mountain bikes. The Cavallino served as our base for exploring the Alpe di Suisi and the combination of the hotel and this remarkable outdoor venue provided the highlight of our 15 day driving tour of the Alps. We felt more at home here than anywhere else we stayed along the way.",couple,POS
“The service was over the top. The hotel was old-world stylish in every way.”,"The service was over the top. The hotel was old-world stylish in every way. I don't often go out of my way to write a review, however I have to say that the golden horse (Cavallino d'Oro) was wonderful. We booked for 3 nights initially, then added 2. The area has so much to do and it is so well organized. We hiked two days, and rented biked in Compatsch one day. There's a deal too--ride the bike on trails/roads from Compatsch, then arrange to return the bikes at the bottom of the hill. I think we went 10 km in 15 minutes. There was no extra fee to return the bikes at a hotel near the bottom of the cable car in Siusi. But back to the hotel, the sauna was great, there was plenty of delicious food (we stayed for dinner every night) and the staff couldn't be more helpful. The internet worked as well as anywhere, so we were happy. There is a lot of comfortable common area, with nice views. Being right on the square was really charming. In short, it was like a resort where we got to know some of the other guests and probably have arranged a house trade for the future.",couple,POS
"“This is the town and hotel to stay at in Northern Italy, or do I mean Southern Austria?”","The town is beautiful. The hotel is beautiful. This is where you want to stay. My wife and I get our hotel recommendations from Rick Steve's travel books and then cross reference them here at Trip Advisor. RS and TA are correct with this one, it is a great hotel. The rooms are comfortable, clean and the fresh mountain air feels great as you sit in your room and watch this mountain town. The rooms are large, for European standards, typical of alpine hotels I have stayed at. It was nice to have a couch and a chair to sit on instead of the bed. The bathroom is large as well. Our room faced the square, just to the side of the bell tower (near the church), this was amazing, more on this later. The only gripe I have is the cleaning staff would get a prompt start every morning around 7 am and I'd prefer to sleep undisturbed until around 8:30 (vacation!) but I could hear them moving around in the hallway. The restaurant is nice, but too fancy for me. I'm more of a schnitzel and beer kind of guy. My wife and I ate there one night, and as I said, it just wasn't my style. But I'm sure that for people with a more sophisticated palette, it would be excellent. The free breakfast was excellent, for any palette! Kastelruth is great """"base camp"""" for exploring northern Italy and it is easy to get to the hotel from Bozen. Take the Bus from Bozen to Kastelruth and ride it to the end of the line (you can tell because the bus will pull into a little """"bahnhof"""" and the bus will be pointing towards a school (schule). Plus, the 50 min bus ride up the mountain is like a roller-coaster. My wife and I happened to be in Kastelruth during their Corpus Christi and St. Peter & Paul celebration. If it is possible for you to book your trip anytime, do it during this. It was a treat to watch and be a part of (plus, the festival in the evening was a blast). My only gripe, put Wifi in that reaches more than just the bar. I want to use it in my room! Susanne Urthaler was an angel and a delight for my wife and I to talk to each day. She runs an amazing hotel along with the rest of the wonderful staff. I love the Alps, and would suggest this hotel!",couple,POS
“Excellent.”,"We spent a long weekend here just recently with our three year-old daughter and had a great time. The staff is spectacular, the food divine, the room (romantik) was gorgeous, the facilities impressive but by far the coolest thing was the wine cellar tour. Only hotel guests can partake in the tour, but it is well worth it. Staying at La Perla is the total hotel experience: aside from what I've already mentioned, being 30 meters from the gondola entrance, ample and easy parking, abundant and pleasing wait staff, the most rewarding and custom breakfast offerings, easy downhill walk to shops and no hassle transactions all made it complete. I will stay here again.",family,POS
